,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0244,0.1115,0.0283,6.7120,10.5121,0.0930,0.7082
r_e,22.1656,3.9279,12.7756,0.0006,0.0008,13.7008,0.2228
n,2.0052,2.0506,2.2301,5.7929,6.7587,1.2253,2.0625
x_0,14.9985,29.5573,57.7414,61.2500,69.3329,78.8746,83.5221
