,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0480,0.2261,0.0190,0.0000,0.4678,0.0604,0.1070
r_e,11.1388,2.3901,27.8622,1.8690,0.0173,12.4821,2.3479
n,1.3310,1.6001,2.1725,0.5904,3.6516,1.4989,1.4415
x_0,15.6120,29.8065,57.8305,62.6322,71.5923,78.4054,83.7259
