,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.8534,0.1882,0.2614,0.0000,1.5498,0.8753,1.3988
r_e,9.7224,17.8924,34.1809,2.9899,0.0016,15.4831,1.2815
n,0.9896,1.9366,1.5174,1.2504,4.2745,0.9278,0.8262
x_0,15.7525,29.7944,57.1163,61.6745,71.2972,77.0990,82.8715
