Name,Flux,Error_flux
Hgamma,0.07012657016112436,0.05632980782772985
Hbeta,0.19564421722237982,0.05430858561988841
Halpha,0.4425312688124351,0.049084564904738566
[SII]6716,0.0,0.01748001733344773
[SII]6731,0.06299178230882081,0.03994293392627393
HeII4687,0.0,0.050572005647712505
HeI5876,0.22370603205249562,0.05244851087065605
[OIII]4959,0.08462846241821971,0.04302548057885012
[OIII]5007,0.25388538725465915,0.04302548057885012
[OI]6300,0.0,0.019247647744981843
[OI]6364,0.0,0.019247647744981843
[NII]6548,0.0707593332203052,0.05367672632219271
[NII]6583,0.2122779996609156,0.05367672632219271
