,SNR,Signal,Noise
Spettro_1,2.906,0.085,0.029
Spettro_2,0.374,0.017,0.047
Spettro_3,0.032,0.002,0.047
Spettro_4,-2.972,-0.151,0.051
Spettro_5,3.639,0.291,0.080
Spettro_6,2.800,0.345,0.123
Spettro_7,0.377,0.028,0.075
Spettro_8,1.741,0.092,0.053
Spettro_9,2.036,0.101,0.049
Spettro_10,7.796,0.253,0.032
Spettro_11,0.967,0.059,0.061
Spettro_12,-0.418,-0.022,0.052
Spettro_13,0.176,0.008,0.044
Spettro_14,-1.007,-0.043,0.043
Spettro_15,0.424,0.017,0.039
Spettro_16,9.512,0.435,0.046
Spettro_17,8.919,0.230,0.026
Spettro_18,6.380,0.487,0.076
Spettro_19,10.344,1.763,0.170
Spettro_20,2.067,0.204,0.099
Spettro_21,5.444,0.260,0.048
Spettro_22,4.290,0.164,0.038
Spettro_23,-0.366,-0.019,0.053
Spettro_24,-2.227,-0.085,0.038
