,SNR,Signal,Noise
Spettro_1,0.102,0.009,0.093
Spettro_2,2.487,0.277,0.111
Spettro_3,-0.505,-0.058,0.115
Spettro_4,0.051,0.004,0.072
Spettro_5,0.709,0.219,0.308
Spettro_6,0.189,0.053,0.278
Spettro_7,-0.238,-0.037,0.154
Spettro_8,0.402,0.044,0.109
Spettro_9,-0.116,-0.017,0.143
Spettro_10,1.139,0.087,0.076
Spettro_11,0.032,0.002,0.069
Spettro_12,-0.953,-0.097,0.102
Spettro_13,-0.228,-0.022,0.098
Spettro_14,-0.629,-0.044,0.069
Spettro_15,-0.030,-0.003,0.096
Spettro_16,0.356,0.022,0.061
Spettro_17,0.699,0.063,0.090
Spettro_18,-0.234,-0.038,0.161
Spettro_19,1.455,0.421,0.289
Spettro_20,0.563,0.050,0.089
Spettro_21,1.851,0.203,0.109
Spettro_22,-0.688,-0.047,0.068
Spettro_23,-0.586,-0.044,0.075
Spettro_24,0.979,0.061,0.062
