Name,Flux,Error flux
Hgamma,0.08861401348142744,0.05201229564035912
Hbeta,0.36073315687890634,0.04709450854103861
Halpha,1.6221678665221086,0.05533651897828254
[SII]6716,0.14908159648789407,0.024272383519135143
[SII]6731,0.24864875531556604,0.023064210823740054
HeII4687,0.024983644974418698,0.012903524735788522
HeI5876,0.0,0.008312591024650918
[OIII]5007_d,0.2893544121539662,0.024649921798057726
[OI]6300_d,0.03733138880461103,0.024721973430585728
[NII]6583_d,0.819168838430162,0.02123333211733019
