,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0311,0.0624,0.2351,0.0933,0.0537,0.1286,0.1258
r_e error,16.9289,28.8960,2.9840,57.6735,18.6953,1.2842,0.5147
n error,1.0409,1.6592,1.1933,1.8102,0.5721,0.1492,0.1838
x_0 error,0.1671,0.1975,0.1695,0.0008,0.7765,0.2252,0.0753
