,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0114,0.0483,1.2838,0.0127,0.0356,209748.9534,0.0226
r_e error,8.9828,1.3388,3.8733,18.6536,6.2395,257.0970,0.6114
n error,0.6435,0.7482,20.3932,0.3635,0.2824,225279.7303,0.1037
x_0 error,0.5406,0.8801,0.4493,0.0411,0.9462,51.3719,0.1931
