,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0057,0.0287,0.0274,0.0365,0.0529,0.1273,0.1166
r_e,34.6793,4.6061,1.5411,22.3326,25.8954,2.5934,2.4373
n,1.7788,1.1724,2.0445,1.9387,0.9017,0.1509,0.9472
x_0,19.4212,49.2140,53.5442,61.1218,76.8000,91.1149,96.9967
