,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0122,151401.9751,0.0630,0.0923,0.0161,0.0361,0.0706
r_e error,173.7825,532.6561,1.3604,47.9255,3.8282,0.2261,2.1527
n error,3.5035,1062892.8884,0.2809,4.5008,0.0825,0.1622,0.8792
x_0 error,0.0064,4.0276,2.0742,0.0692,0.9004,0.2541,0.0694
