,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.2747,465.2369,0.4180,0.8492,0.5153,894.6274,0.8479
r_e error,17.6582,440.9188,16.2167,3.1493,4.7927,8.8347,32.6678
n error,0.3873,4136.1604,0.1720,0.1870,0.0603,1961.5288,0.3940
x_0 error,1.5003,0.9712,20.5137,5.1538,6.7266,0.3571,29.4794
