,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0135,0.0816,299.6318,0.1628,0.0466,0.1561,0.1030
r_e error,68.6698,0.8846,193.7824,99.4215,8.7852,22.9266,0.5050
n error,1.1719,0.4225,1410.9728,5.2280,0.2500,4.6939,0.3638
x_0 error,0.5802,1.5968,0.6722,0.0033,10.4628,0.2278,0.1228
