,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0084,0.0351,0.2873,0.0246,0.0151,0.0131,0.0590
r_e error,49.3664,4.8321,9.2377,16.5043,3.9616,0.7656,0.6499
n error,0.9417,0.9048,9.8045,0.4346,0.1308,0.2415,0.3982
x_0 error,0.4893,0.4052,0.1971,0.0947,0.8526,0.5235,0.2134
