,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0028,1.9306,0.0856,0.0154,0.0784,0.2021,0.0739
r_e,50.4318,0.0136,4.0928,10.0899,28.9353,2.4923,3.5514
n,2.6342,48.4144,0.5463,3.0405,0.9777,0.2168,2.2561
x_0,19.2828,49.1382,51.4912,61.3914,69.4676,91.6084,97.4550
