,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0120,0.0483,0.0655,0.0246,0.0762,1.2477,0.1425
r_e,10.9539,2.3054,0.6140,49.8577,10.5707,0.0473,4.3056
n,1.2062,0.5720,1.0272,1.9156,0.4962,0.6764,0.6417
x_0,19.0891,49.5398,53.4078,61.0920,76.8003,89.4672,95.9710
