,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.3370,1.4863,0.8356,2.5733,1.5988,2.2939,1.1714
r_e error,49.8861,1.5505,14.6433,7.7030,5.3239,88.1075,2.4558
n error,0.6598,0.8185,0.1811,0.4864,0.1117,0.8925,0.6063
x_0 error,2.1673,1.4574,6.5121,3.9079,2.5283,42.3396,3.6669
