,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.2197,0.5115,0.6353,2.2440,0.7317,0.3913,0.3050
r_e error,8.7105,0.9203,14.3374,10.7967,4.7382,28.3768,0.7769
n error,0.3713,0.3371,0.1759,0.6797,0.1090,0.6860,0.1864
x_0 error,1.4388,0.6956,4.5926,0.6347,1.2693,44.7069,1.0818
