,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0074,0.1253,0.2841,0.0256,0.0919,0.0246,0.2167
r_e,36.0862,3.4071,0.3047,18.7778,20.7630,4.4853,2.0357
n,1.8003,0.5524,0.2061,2.7254,0.5590,1.8906,0.6738
x_0,19.1995,50.2804,53.9860,61.1813,77.0980,90.6884,97.1850
