,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.2864,1.5707,0.5509,2.7832,3.0232,0.8580,1.0714
r_e,44.5051,2.3860,23.6448,11.9154,12.1700,28.5238,5.4130
n,1.2399,0.3271,0.1000,0.7960,0.1000,0.1000,0.6638
x_0,18.4708,48.9896,52.0895,62.0000,79.0000,90.0000,96.3066
