,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.3587,1.3054,0.3746,1.6031,1.9390,0.6018,1.2951
r_e,18.3569,2.9092,22.8922,12.5915,11.2417,22.1768,4.4775
n,0.8806,0.4026,0.1000,1.0859,0.1000,0.2148,0.3278
x_0,18.0024,49.1134,52.3971,62.0000,79.0000,90.0000,95.0000
