,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.4036,0.2347,0.8629,3.5134,2.8943,1.9095,0.8114
r_e,29.5223,0.4252,18.6592,11.5037,15.3362,0.1389,30.0089
n,0.9916,2.3162,0.1519,0.2503,0.1838,3.4547,0.1000
x_0,19.4721,48.9807,53.8724,62.0000,79.0000,90.0000,95.2378
