,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,86.491,1.154,0.778,0.256,0.199,0.080,0.030
Green,0.000,50.015,7.668,0.010,0.000,0.000,0.000
Magenta,0.000,2.044,28.413,0.022,0.000,0.000,0.000
Orange,10.135,34.680,48.734,86.677,27.740,9.617,3.429
Chocolate,3.373,12.107,14.407,13.035,71.941,31.148,10.898
Purple,0.000,0.000,0.000,0.000,0.000,54.100,1.461
Deeppink,0.000,0.000,0.000,0.001,0.121,5.055,84.182
