,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,85.310,1.218,0.870,0.254,0.203,0.070,0.031
Green,0.000,44.387,18.175,0.008,0.000,0.000,0.000
Magenta,0.000,4.876,21.629,0.019,0.000,0.000,0.000
Orange,11.019,36.764,45.358,85.905,28.785,8.350,3.637
Chocolate,3.672,12.754,13.968,13.812,70.904,27.050,11.470
Purple,0.000,0.000,0.000,0.000,0.000,53.615,0.998
Deeppink,0.000,0.000,0.000,0.001,0.108,10.915,83.864
