,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,92.572,0.390,0.214,0.047,0.086,0.018,0.005
Green,1.388,60.981,17.092,1.434,1.259,0.215,0.056
Magenta,0.000,14.001,47.835,0.862,0.001,0.000,0.000
Orange,6.006,23.434,33.212,95.787,27.009,4.855,1.344
Chocolate,0.034,1.194,1.648,1.869,71.513,10.431,1.866
Purple,0.000,0.000,0.000,0.000,0.000,66.232,1.469
Deeppink,0.000,0.000,0.000,0.000,0.131,18.249,95.260
