,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,85.426,2.489,1.637,0.538,0.676,0.422,0.212
Green,0.010,44.207,10.362,0.363,0.006,0.000,0.000
Magenta,0.000,2.097,23.599,0.070,0.000,0.000,0.000
Orange,8.649,34.734,47.061,85.817,21.342,8.020,3.290
Chocolate,5.914,16.473,17.340,13.212,77.976,41.800,18.158
Purple,0.000,0.000,0.000,0.000,0.000,46.744,2.710
Deeppink,0.000,0.000,0.000,0.000,0.000,3.014,75.629
