,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,95.760,2.740,1.847,0.489,1.108,0.475,0.243
Green,0.000,66.435,31.691,0.082,0.000,0.000,0.000
Magenta,0.000,0.007,24.321,0.000,0.000,0.000,0.000
Orange,3.240,16.102,25.126,88.655,13.138,3.049,1.241
Chocolate,1.000,14.712,17.011,10.768,84.903,41.347,18.540
Purple,0.000,0.003,0.005,0.006,0.851,54.510,3.035
Deeppink,0.000,0.000,0.000,0.000,0.000,0.620,76.941
