,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,93.831,0.347,0.191,0.030,0.082,0.018,0.004
Green,1.147,69.161,13.431,0.891,1.188,0.213,0.045
Magenta,0.000,8.834,56.294,0.375,0.001,0.000,0.000
Orange,4.994,20.605,28.630,97.520,25.397,4.826,1.085
Chocolate,0.028,1.053,1.455,1.184,73.236,10.257,1.490
Purple,0.000,0.000,0.000,0.000,0.000,71.452,0.176
Deeppink,0.000,0.000,0.000,0.000,0.097,13.234,97.201
