,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,84.466,2.592,1.697,0.595,0.683,0.433,0.235
Green,0.012,40.025,11.922,0.438,0.006,0.000,0.000
Magenta,0.000,3.722,18.704,0.105,0.000,0.000,0.000
Orange,9.218,36.509,49.688,84.259,21.762,8.269,3.647
Chocolate,6.304,17.153,17.988,14.603,77.548,42.969,20.105
Purple,0.000,0.000,0.000,0.000,0.000,43.957,5.428
Deeppink,0.000,0.000,0.000,0.000,0.001,4.371,70.585
