,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,85.824,2.441,1.602,0.490,0.671,0.414,0.202
Green,0.010,45.876,9.749,0.313,0.005,0.000,0.000
Magenta,0.000,1.571,25.919,0.053,0.000,0.000,0.000
Orange,8.413,33.952,45.758,87.121,21.088,7.864,3.126
Chocolate,5.753,16.160,16.972,12.023,78.236,41.058,17.261
Purple,0.000,0.000,0.000,0.000,0.000,48.315,1.755
Deeppink,0.000,0.000,0.000,0.000,0.000,2.347,77.657
