,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,93.469,0.360,0.198,0.038,0.084,0.018,0.004
Green,1.216,66.936,14.432,1.133,1.218,0.213,0.048
Magenta,0.000,10.172,53.784,0.547,0.001,0.000,0.000
Orange,5.285,21.438,30.068,96.787,26.072,4.812,1.161
Chocolate,0.030,1.094,1.518,1.495,72.516,10.270,1.600
Purple,0.000,0.000,0.000,0.000,0.000,69.787,0.423
Deeppink,0.000,0.000,0.000,0.000,0.109,14.900,96.763
