,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,95.621,2.787,1.905,0.567,1.110,0.505,0.254
Green,0.000,65.689,32.896,0.137,0.000,0.000,0.000
Magenta,0.000,0.069,21.435,0.000,0.000,0.000,0.000
Orange,3.343,16.478,26.219,86.810,13.254,3.253,1.302
Chocolate,1.036,14.973,17.541,12.478,84.752,43.930,19.425
Purple,0.000,0.003,0.005,0.007,0.884,51.160,3.326
Deeppink,0.000,0.000,0.000,0.000,0.000,1.153,75.692
