,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,95.265,2.898,1.997,0.661,1.113,0.544,0.282
Green,0.000,63.570,34.814,0.258,0.000,0.000,0.000
Magenta,0.000,0.552,16.415,0.000,0.000,0.000,0.000
Orange,3.605,17.397,28.380,84.573,13.449,3.524,1.448
Chocolate,1.130,15.580,18.390,14.500,84.496,47.273,21.542
Purple,0.000,0.003,0.005,0.008,0.942,46.200,4.197
Deeppink,0.000,0.000,0.000,0.000,0.000,2.458,72.532
