,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,66.830,0.312,0.153,0.033,0.008,0.003,0.001
Green,0.000,31.050,8.448,0.002,0.000,0.000,0.000
Magenta,0.000,2.042,13.000,0.001,0.000,0.000,0.000
Orange,33.170,65.901,76.440,93.442,43.457,28.603,12.005
Chocolate,0.000,0.694,1.958,6.522,56.486,25.789,4.016
Purple,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Deeppink,0.000,0.000,0.000,0.000,0.049,45.606,83.979
