,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,69.250,0.295,0.145,0.028,0.008,0.003,0.001
Green,0.000,36.010,6.028,0.000,0.000,0.000,0.000
Magenta,0.000,0.245,19.762,0.000,0.000,0.000,0.000
Orange,30.750,62.840,72.302,94.493,42.902,30.489,11.112
Chocolate,0.000,0.610,1.763,5.478,57.064,27.121,3.574
Purple,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Deeppink,0.000,0.000,0.000,0.000,0.026,42.387,85.313
