,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,68.563,0.301,0.148,0.031,0.008,0.003,0.001
Green,0.000,34.586,6.734,0.001,0.000,0.000,0.000
Magenta,0.000,0.660,17.602,0.000,0.000,0.000,0.000
Orange,31.437,63.820,73.695,94.026,43.110,29.729,11.355
Chocolate,0.000,0.634,1.822,5.943,56.847,26.582,3.692
Purple,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Deeppink,0.000,0.000,0.000,0.000,0.034,43.686,84.952
