,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7
Blue,86.960,1.124,0.758,0.239,0.197,0.078,0.028
Green,0.000,52.207,6.701,0.007,0.000,0.000,0.000
Magenta,0.000,1.149,31.194,0.017,0.000,0.000,0.000
Orange,9.784,33.720,47.299,87.509,27.374,9.254,3.237
Chocolate,3.255,11.799,14.047,12.227,72.314,30.000,10.288
Purple,0.000,0.000,0.000,0.000,0.000,56.267,0.793
Deeppink,0.000,0.000,0.000,0.001,0.115,4.400,85.655
