,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0207,0.0258,0.1475,0.0400,0.0694,0.4900,0.5611
r_e,12.5939,13.0095,2.7052,27.8285,12.9484,2.9453,3.2117
n,2.0228,2.2655,1.2191,2.8711,0.8799,0.1132,1.1061
x_0,19.5789,49.1714,53.7625,61.0028,78.0000,90.0000,96.8937
