Component,I_e,I_e error,r_e,r_e error,n,n error,x_0,x_0 err
1,0.4650,0.1676,13.3869,3.3905,2.3822,0.2723,36.1053,0.0509
2,0.5913,0.2415,5.4864,1.8379,1.1634,0.2984,41.6880,0.2071
3,0.0736,0.4885,19.6508,90.7659,3.4731,6.8151,59.5881,0.0006
4,0.0633,0.0476,22.8141,22.0202,1.5566,0.5281,72.2556,0.4628
