Component,I_e,I_e error,r_e,r_e error,n,n error,x_0,x_=0 err
1,0.06120336553274252,0.012503365322012695,9.768671797535736,1.3515615525319502,1.955455019337206,0.1543227257719821,36.17876106314384,0.045928411861349196
2,0.032956603787025134,0.019357948821229345,5.925314351476352,2.8922520099847455,1.3680536153725067,0.4267063967104516,42.077288969256266,0.1681100958320538
3,0.007167756968447142,0.03956030200242412,17.008522719982903,65.17134272187735,3.27350838641398,5.699565566609414,59.56339062877821,0.0015659416096976085
4,0.003924188134010688,0.0028799902794287018,29.861628903609635,25.670116288433746,1.700897325130769,0.4958547966985098,72.21185094078074,0.42150361849006585
