,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,9.255,9.384,11.697,14.890
Continuum_2,11.871,10.517,11.404,17.218
Continuum_3,9.929,11.785,10.907,16.409
