,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.014,0.013,0.014,0.013
Continuum_2,0.009,0.011,0.011,0.011
Continuum_3,0.009,0.009,0.009,0.010
