,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.126,0.125,0.166,0.200
Continuum_2,0.107,0.111,0.120,0.188
Continuum_3,0.092,0.101,0.096,0.165
