,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,7.444,18.069,22.530,17.292,11.294,3.287
Continuum_2,7.993,20.700,22.218,19.292,1.273,3.701
Continuum_3,5.666,19.324,25.687,0.985,14.789,0.382
