,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.541,12.776,4.990,2.372,1.145,0.183
Continuum_2,0.462,13.897,4.813,2.204,1.367,0.199
Continuum_3,0.367,12.553,4.628,2.295,1.259,0.238
