,Component 1,Component 2,Component 3,Component 4
I_e,8.6284,1.7448,0.5793,2.8940
r_e,0.0001,0.0001,49.9998,16.8122
n,5.7726,4.5342,1.3853,0.5045
x_0,15.5197,20.1078,34.3698,69.0000
