,Component 1,Component 2,Component 3,Component 4
I_e,0.2798,0.4054,1.1067,0.0351
r_e,3.0779,1.2798,7.1141,49.9863
n,0.6585,0.1154,1.8642,2.4353
x_0,15.5912,20.4395,32.7376,70.0490
