,Component 1,Component 2,Component 3,Component 4
I_e,0.3437,0.6040,1.4019,0.0749
r_e,1.2154,3.3346,6.4078,39.4116
n,0.6874,0.1059,1.7939,1.2860
x_0,14.7806,20.1556,33.2849,68.6317
