,Component 1,Component 2,Component 3,Component 4
I_e,0.8047,0.0399,0.0166,0.1026
r_e,0.0467,0.2016,49.9996,23.4668
n,0.5098,1.8756,2.6001,0.7935
x_0,15.6463,19.7978,32.5249,68.6303
