,Component 1,Component 2,Component 3,Component 4
I_e,0.1477,0.1115,0.0663,0.0838
r_e,1.4829,1.9859,27.4115,25.3062
n,0.3230,0.1008,2.9777,1.0087
x_0,16.3173,21.2622,33.2289,68.6303
