,Component 1,Component 2,Component 3,Component 4
I_e,0.0681,0.1250,0.0204,0.0877
r_e,1.5552,0.1717,49.9998,29.0338
n,0.1323,0.4312,2.5962,0.9366
x_0,16.7116,20.1587,32.2868,68.6303
