,Component 1,Component 2,Component 3,Component 4
I_e,0.1941,0.2026,0.0199,0.0203
r_e,14.0934,5.4064,50.2968,43.7106
n,2.1780,0.4628,3.4618,1.7667
x_0,36.1584,42.0162,59.5634,72.2943
