,Component 1,Component 2,Component 3,Component 4
I_e,0.4939,2.0000,0.3260,0.4555
r_e,64.7227,2.8440,99.1075,28.1423
n,2.3884,0.3217,3.6341,1.7478
x_0,36.1584,42.0162,59.5634,72.2943
