,Component 1,Component 2,Component 3,Component 4
I_e,0.7336,0.5038,0.0480,0.0504
r_e,10.0575,5.1610,25.1799,25.1946
n,2.0273,1.2751,3.7772,1.6757
x_0,36.1584,42.0162,59.5634,72.2943
