,Component 1,Component 2,Component 3,Component 4
I_e error,0.1488,0.1184,0.0936,0.0222
r_e error,6.9834,1.6876,188.1914,69.0599
n error,0.5232,0.2143,3.8693,0.7415
x_0 error,0.0490,2.8476,0.0011,0.4516
