,Component 1,Component 2,Component 3,Component 4
I_e,0.0773,0.0529,0.0257,0.0152
r_e,16.0734,15.4693,29.6815,43.4966
n,1.8383,1.4107,3.3015,1.8426
x_0,36.1584,42.0162,59.5634,72.2943
