,Component 1,Component 2,Component 3,Component 4
I_e error,4.3513,0.5280,5.3582,0.4827
r_e error,0.6880,0.8923,2.0959,4.6389
n error,0.7152,0.0520,0.4917,0.1206
x_0 error,0.1555,1.1712,0.0876,5.1545
