,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.3649,0.0496,2.0104,0.0368,0.0232
r_e,4.0803,40.5378,0.3445,11.5921,12.7856
n,0.7970,1.1230,1.2640,1.5557,1.0152
x_0,26.8791,47.9840,61.2424,68.2933,102.7573
