,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0216,0.0235,0.0791,0.0306,0.0361
r_e,12.8127,5.2802,24.9131,2.1190,11.8781
n,1.7870,4.3934,0.5774,1.4246,0.3035
x_0,27.1944,61.2706,49.2028,69.0911,104.0350
