,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,2.0429,0.1473,3.0896,0.0292,0.0352
r_e,0.0240,20.0000,0.0221,3.5499,19.7346
n,3.2745,0.2684,2.8822,1.0115,0.4017
x_0,27.4411,45.4205,61.3603,69.1112,100.3360
