,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.0794,0.1844,0.0843,0.3494,0.6109,0.1340,1.2054
r_e,9.4707,5.6615,10.1595,0.4480,0.1034,14.1596,1.2552
n,1.6742,3.1760,2.3081,0.3642,1.8726,1.7010,0.2582
x_0,14.2799,28.7912,56.9145,61.4525,70.2810,77.4548,83.1643
