,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.7088,1.5180,4.1592,3.4954,0.2068,0.6437
r_e,9.9966,6.3344,6.2314,3.0743,49.2580,3.4784
n,2.6111,4.1031,0.4372,0.9876,2.1956,0.6343
x_0,16.1944,41.1055,60.0832,66.1766,72.3376,91.6626
