,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6
Blue,99.63 +0.08 -0.04,0.14 +0.05 -0.04,0.02 +0.02 -0.01,0.01 +0.01 -0.00,0.00 +0.00 -0.00,0.00 +0.01 -0.00
Green,0.35 +0.04 -0.08,99.51 +0.11 -0.15,0.94 +0.13 -0.18,0.36 +0.04 -0.08,0.19 +0.03 -0.05,0.45 +0.09 -0.16
Magenta,0.00 +0.00 -0.00,0.27 +0.13 -0.09,88.56 +3.40 -5.20,19.50 +4.48 -3.47,2.36 +0.64 -0.50,0.02 +0.03 -0.01
Orange,0.00 +0.00 -0.00,0.00 +0.00 -0.00,8.52 +5.19 -3.37,74.21 +3.52 -4.50,1.26 +1.88 -0.75,0.00 +0.00 -0.00
Chocolate,0.00 +0.00 -0.00,0.01 +0.01 -0.00,1.64 +0.38 -0.33,5.61 +0.50 -0.49,95.49 +0.80 -1.76,1.08 +0.53 -0.35
Dodgerblue,0.01 +0.01 -0.01,0.05 +0.04 -0.03,0.31 +0.14 -0.15,0.31 +0.11 -0.13,0.58 +0.15 -0.18,98.45 +0.36 -0.53
