,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.7673,3.0146,4.3370,13.2565,2.2652,0.9883
r_e error,1.9710,3.0255,0.7630,9.2258,2.3869,6.1135
n error,0.3321,2.2538,0.1248,1.1180,0.2862,0.6117
x_0 error,0.0507,0.0003,0.7026,0.2355,0.1357,0.2722
